sales,date,region,product
360.57,2024-01-01,north,pink morsel
117.29,2024-01-01,east,pink morsel
639.17,2024-01-01,south,pink morsel
456.44,2024-01-01,west,pink morsel
682.45,2024-01-02,north,pink morsel
721.05,2024-01-02,east,pink morsel
781.58,2024-01-02,south,pink morsel
808.15,2024-01-02,west,pink morsel
326.45,2024-01-03,north,pink morsel
123.18,2024-01-03,east,pink morsel
757.16,2024-01-03,south,pink morsel
722.52,2024-01-03,west,pink morsel
425.89,2024-01-04,north,pink morsel
680.04,2024-01-04,east,pink morsel
685.32,2024-01-04,south,pink morsel
366.19,2024-01-04,west,pink morsel
151.95,2024-01-05,north,pink morsel
209.55,2024-01-05,east,pink morsel
663.84,2024-01-05,south,pink morsel
564.84,2024-01-05,west,pink morsel
546.44,2024-01-06,north,pink morsel
470.95,2024-01-06,east,pink morsel
148.57,2024-01-06,south,pink morsel
746.8,2024-01-06,west,pink morsel
584.7,2024-01-07,north,pink morsel
927.8,2024-01-07,east,pink morsel
564.63,2024-01-07,south,pink morsel
830.36,2024-01-07,west,pink morsel
756.79,2024-01-08,north,pink morsel
298.59,2024-01-08,east,pink morsel
204.97,2024-01-08,south,pink morsel
313.97,2024-01-08,west,pink morsel
897.72,2024-01-09,north,pink morsel
950.79,2024-01-09,east,pink morsel
384.99,2024-01-09,south,pink morsel
332.57,2024-01-09,west,pink morsel
683.41,2024-01-10,north,pink morsel
462.69,2024-01-10,east,pink morsel
622.33,2024-01-10,south,pink morsel
684.28,2024-01-10,west,pink morsel
984.45,2024-01-11,north,pink morsel
737.5,2024-01-11,east,pink morsel
896.54,2024-01-11,south,pink morsel
246.41,2024-01-11,west,pink morsel
821.3,2024-01-12,north,pink morsel
568.67,2024-01-12,east,pink morsel
682.81,2024-01-12,south,pink morsel
470.98,2024-01-12,west,pink morsel
905.33,2024-01-13,north,pink morsel
645.69,2024-01-13,east,pink morsel
640.8,2024-01-13,south,pink morsel
427.07,2024-01-13,west,pink morsel
240.4,2024-01-14,north,pink morsel
350.13,2024-01-14,east,pink morsel
296.76,2024-01-14,south,pink morsel
188.61,2024-01-14,west,pink morsel
254.31,2024-01-15,north,pink morsel
253.07,2024-01-15,east,pink morsel
275.12,2024-01-15,south,pink morsel
599.25,2024-01-15,west,pink morsel
794.22,2024-01-16,north,pink morsel
940.76,2024-01-16,east,pink morsel
604.19,2024-01-16,south,pink morsel
231.19,2024-01-16,west,pink morsel
916.19,2024-01-17,north,pink morsel
227.42,2024-01-17,east,pink morsel
534.19,2024-01-17,south,pink morsel
116.65,2024-01-17,west,pink morsel
537.01,2024-01-18,north,pink morsel
534.06,2024-01-18,east,pink morsel
625.39,2024-01-18,south,pink morsel
953.04,2024-01-18,west,pink morsel
490.69,2024-01-19,north,pink morsel
136.62,2024-01-19,east,pink morsel
455.65,2024-01-19,south,pink morsel
